Mindmap category,,,,,,,,,Bottom Up,Technology Offerings,Categories,Blips,URL,A/D,O,Research,WA,WA Combined,A/B,DOT,BS,Capacity,Sean,S1,Diptesh,D1,Sudip,S2,Darach,D2,Abhishek,A1,India DoT,Naresh,N1,Dixit 
Tech Stack,Layers,Service,Web Servers,Apache Tomcat,,,,,Business services,Other,Platforms,Apache Tomcat,https://vox.sapient.com/docs/DOC-118659,,EU,,2.5,Maintain,Maintain,Out,50,0,Invest,3,Invest,3,Invest,3,No Opinion ,0,Watch,2,,Maintain,4,
Tech Stack,Layers,Service,Web Servers,nginx,,,,,Business services,Next Generation Platform,Platforms,Nginx,https://vox.sapient.com/docs/DOC-118816?sr=stream,,EU,,2.333333333,Watch,Invest,In,50,0,Maintain,4,Maintain,4,Hold,1,No Opinion ,0,Watch,2,,Invest,3,
Tech Stack,Layers,Service,Web Servers,Servlet Engines,Jetty,,,,Business services,Next Generation Platform,Platforms,Jetty,https://vox.sapient.com/docs/DOC-119065,,EU,,4,Maintain,Invest,Static,50,0,Maintain,4,Maintain,4,Maintain,4,Maintain,4,Maintain,4,,Maintain,4,
Tech Stack,Layers,Service,Web Servers,WebSphere,,,,,Business services,Other,Platforms,WebSphere Application Server,https://vox.sapient.com/docs/DOC-118817,,EU,,4,Maintain,Maintain,Out,50,0,Maintain,4,Maintain,4,Maintain,4,Maintain,4,Maintain,4,,Maintain,4,
Tech Stack,Layers,Service,Web Servers,IIS,,,,,Business services,Other,Platforms,Microsoft IIS,https://vox.sapient.com/docs/DOC-119802,,EU,,4,Maintain,Maintain,Out,50,0,Maintain,4,Maintain,4,Maintain,4,Maintain,4,Maintain,4,,Maintain,4,
Tech Stack,Layers,Business Logic,Types,Component,.NET,,,,Business services,Other,Platforms,.NET framework,https://vox.sapient.com/docs/DOC-119780,,EU,,3.5,Maintain,Maintain,Static,417,417,Maintain,4,Hold,1,Maintain,4,Maintain,4,Maintain,4,,Maintain,4,
Tech Stack,Layers,Business Logic,Types,Component,JEE,Vendors,Oracle WebLogic,,Business services,Other,Platforms,Oracle WebLogic Application Server,https://vox.sapient.com/docs/DOC-119801,,EU,,2.5,Maintain,Maintain,Out,50,0,Maintain,4,Hold,1,Watch,2,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Layers,Business Logic,Types,Component,JEE,Vendors,Glassfish,,Business services,Other,Platforms,Oracle Glassfish,,,EU,,2.166666667,Watch,Exit,Out,50,0,Maintain,4,Invest,3,No Opinion ,0,Maintain,4,Hold,1,,Hold,1,
Tech Stack,Layers,Business Logic,Types,Non-blocking I/O,Node.js,,,,Business services,Next Generation Platform,Platforms,Node.JS,https://vox.sapient.com/docs/DOC-118660,,IND,TW-Jan14-Adopt,2.166666667,Watch,Invest,In,50,0,Maintain,4,Invest,3,No Opinion ,0,No Opinion ,0,Invest,3,,Invest,3,
Tech Stack,Layers,Business Logic,Types,Non-blocking I/O,AKKA,,,,Business services,Next Generation Platform,Platforms,Akka,,,IND,TW-Jul14-Assess,1.5,Maintain,Watch,Static,50,0,Invest,3,Invest,3,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Business Logic,Types,Non-blocking I/O,Vertx.io,,,,Business services,Next Generation Platform,Platforms,Vertx.io,https://vox.sapient.com/docs/DOC-118671,,EU,TW-May13-Assess,0.666666667,Hold,Watch,Out,50,0,Hold,1,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Business Logic,Types,Non-blocking I/O,Netty,,,,Business services,Next Generation Platform,Platforms,Netty,https://vox.sapient.com/docs/DOC-118675,,EU,,1.333333333,Hold,Watch,Out,50,0,Hold,1,Invest,3,Invest,3,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Business Logic,Types,Complex Event Processing (CEP),Apama,,,,Business services,Other,Platforms,Apama CEP,,,IND,,0.666666667,Hold,Exit,In,50,0,Hold,1,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Business Logic,Types,Complex Event Processing (CEP),Streambase,,,,Business services,Other,Platforms,Streambase CEP,,,IND,,0.5,Hold,Exit,Static,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Business Logic,Types,Web Traditional,Perl,,,,Business services,Next Generation Platform,Languages and Frameworks,Perl ,https://vox.sapient.com/docs/DOC-118722,,EU,,2.833333333,Invest,Exit,In,50,0,Hold,1,Invest,3,Hold,1,Maintain,4,Maintain,4,,Maintain,4,
,,,,,,,,,Business services,Other,Languages and Frameworks,ASP.NET,https://vox.sapient.com/docs/DOC-119808,,,,,,Maintain,Out,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Business Logic,Types,Web Traditional,Python,,,,Business services,Other,Languages and Frameworks,Python 3,https://vox.sapient.com/docs/DOC-118721,,IND,,1.5,Maintain,Maintain,Static,50,0,Hold,1,Hold,1,Hold,1,Maintain,4,Watch,2,,No Opinion,0,
